round,race,race_laps,driver,stint,compound,clean_laps,start_lap,race_fraction,deg_old,deg_per_lap,pace_at_age5
6,Monaco,78,GAS,1,MEDIUM,43,2,0.02564102564102564,0.02338499872220843,0.01290968175183726,76.63682581739701
6,Monaco,78,GAS,2,HARD,12,47,0.6025641025641025,-0.156055944055948,-0.16653126102631632,77.35938683213413
6,Monaco,78,HAD,1,MEDIUM,30,2,0.02564102564102564,0.08232122871566618,0.07184591174529462,75.71655236184105
6,Monaco,78,HAD,2,HARD,25,34,0.4358974358974359,0.014789999999999684,0.004314683029629174,76.47954942594242
6,Monaco,78,HAM,1,MEDIUM,26,2,0.02564102564102564,0.045599316239316415,0.03512399926894423,75.0151991416439
6,Monaco,78,HAM,2,HARD,30,30,0.38461538461538464,0.010395978437581176,-7.933853279123667e-05,75.57156848025325
6,Monaco,78,HUL,1,MEDIUM,10,2,0.02564102564102564,-0.17238041958041864,-0.18285573655079043,78.07239404451877
6,Monaco,78,HUL,2,HARD,44,14,0.1794871794871795,0.11689533799533883,0.10642002102496824,76.20022823621231
6,Monaco,78,LAW,1,MEDIUM,42,2,0.02564102564102564,0.026173954236347642,0.01569863726597732,77.01932280575564
6,Monaco,78,LAW,2,SOFT,12,46,0.5897435897435898,-0.02668881118881502,-0.037164128159185114,76.77015852188107
6,Monaco,78,LEC,1,MEDIUM,33,2,0.02564102564102564,0.024290569724392946,0.013815252754021916,75.3447317896168
6,Monaco,78,LEC,2,HARD,23,37,0.47435897435897434,-0.009951961082397287,-0.020427278052768543,75.40061638777074
6,Monaco,78,LIN,1,MEDIUM,56,2,0.02564102564102564,0.05361626531363339,0.043140948343261126,77.1864301347443
6,Monaco,78,NOR,1,MEDIUM,42,2,0.02564102564102564,0.032862715276782736,0.022387398306410188,76.55179329707187
6,Monaco,78,OCO,2,HARD,47,11,0.14102564102564102,0.12628967124457507,0.11581435427420313,75.81636719480645
6,Monaco,78,PER,3,MEDIUM,46,11,0.14102564102564102,0.07324654759363479,0.06277123062326281,76.93896099543663
6,Monaco,78,PIA,1,MEDIUM,46,2,0.02564102564102564,0.040873374605658624,0.03039805763528684,76.1902932792341
6,Monaco,78,PIA,2,HARD,9,50,0.6410256410256411,-0.10470769230769432,-0.11518300927806668,75.93990050826264
6,Monaco,78,RUS,1,MEDIUM,29,2,0.02564102564102564,0.07948836680560907,0.06901304983523789,75.74994899301855
6,Monaco,78,RUS,2,HARD,26,33,0.4230769230769231,-0.0314451282051274,-0.041920445175498616,76.51365576855382
6,Monaco,78,SAI,1,MEDIUM,50,2,0.02564102564102564,0.043687409733123884,0.03321209276275179,77.26595025973214
6,Monaco,78,STR,2,SOFT,51,6,0.07692307692307693,0.04548271493212686,0.03500739796175527,77.33013258467238
