round,race,race_laps,driver,stint,compound,clean_laps,start_lap,race_fraction,deg_per_lap,pace_at_age5
11,Hungarian,70,COL,3,HARD,27,39,0.5571428571428572,0.1076484751471087,84.64749307382371
11,Hungarian,70,GAS,1,MEDIUM,14,2,0.02857142857142857,0.08637142857142656,85.58019999999996
11,Hungarian,70,GAS,2,HARD,20,18,0.2571428571428571,0.09645864661654256,84.8856902255639
11,Hungarian,70,GAS,3,HARD,13,41,0.5857142857142857,0.08254101161995964,84.78901503759401
11,Hungarian,70,GAS,4,SOFT,13,57,0.8142857142857143,0.19794505494505713,83.59185714285715
11,Hungarian,70,HAD,1,MEDIUM,17,2,0.02857142857142857,0.10097969187674802,84.21832002801118
11,Hungarian,70,HAD,2,HARD,20,21,0.3,0.13950426863972562,83.61440039840637
11,Hungarian,70,HAD,3,HARD,24,44,0.6285714285714286,0.052251330007684324,83.2528045981342
11,Hungarian,70,HAM,1,SOFT,11,2,0.02857142857142857,0.028129870129871094,83.6222857142857
11,Hungarian,70,HAM,2,HARD,15,15,0.21428571428571427,0.03731071428571811,83.86281428571425
